firm_id,year,province,asset,type,area,staff,industry,age,profit,revenue,wage
600753.SH,2010,35,234224910.4,0,1,856,6,14,1530769.34,9852880.78,35
600751.SH,2010,12,753734818.6,0,1,671,38,14,5311394.13,200921504.5,60.7
600749.SH,2010,54,610527769.4,0,4,520,32,14,12960564.7,124607759.3,44.4
600748.SH,2010,31,16862280268,1,1,66,17,14,89150807.37,3362815779,142.5
600746.SH,2010,32,750509298,1,1,1093,47,14,74624988.79,785759220.2,45.75
600743.SH,2010,11,9658763998,1,1,178,17,18,53971262.9,1778913454,894.86
600731.SH,2010,43,1282917918,1,4,2185,48,16,52872685.02,851922365.3,39.24
600730.SH,2010,11,1701099048,1,1,418,33,18,77135366.73,1165681651,173
600729.SH,2010,50,8606900574,1,4,9035,23,18,100377498.2,21212744876,191.91
600727.SH,2010,37,1322253923,1,1,1167,47,14,121453468.5,452622706.8,30.5
600712.SH,2010,45,1088272005,1,4,1109,23,14,6894615.88,1857688038,84.84
600710.SH,2010,32,2883765212,1,1,1342,6,14,-46200608.69,2089942787,137
600708.SH,2010,31,3425505171,1,1,12595,17,17,48207048.85,2283312126,146.03
600706.SH,2010,61,36984175.82,1,4,103,32,18,38898303.03,28927936.42,63
600694.SH,2010,21,11917394555,0,2,32700,23,18,30366542.77,24343456921,332.67
600693.SH,2010,35,1514500375,0,1,986,23,29,58763522.52,1892403587,191.5
600692.SH,2010,31,1436765455,1,1,887,17,17,62644566.45,240658758.6,104.44
600691.SH,2010,14,104653001.1,1,1,1690,48,22,74675389.51,30828995.11,10.22
600689.SH,2010,31,1228415804,1,1,1084,27,16,92607251.36,1653218987,127.14
600676.SH,2010,31,4949662506,1,1,5804,30,17,40109863.4,5478314283,240
600675.SH,2010,31,21832476394,1,1,545,17,17,74588748.41,3030268838,155.4
600668.SH,2010,33,2155878110,1,1,1703,49,21,90339781.13,1324530942,128.33
600667.SH,2010,32,4630892781,1,1,689,13,17,166877475.6,2551738663,115.65
600665.SH,2010,61,7699292293,1,4,1235,17,18,191050868.2,2049932657,235.89
600649.SH,2010,31,26084115405,1,1,1629,17,18,-89786224.13,3897942565,184.55
600648.SH,2010,31,23955015887,1,1,69,17,16,-81369827.47,8881179408,109
600647.SH,2010,31,489370614.4,1,1,24,6,19,-227822016.1,326762897.9,136.5
600643.SH,2010,31,1833529611,0,1,413,18,27,-276127918.5,388594476.6,78.88
600638.SH,2010,31,6792645677,1,1,271,17,14,16010504.3,501095983,114
600637.SH,2010,31,2937162467,1,1,4133,22,20,12250058.02,2134206090,94.87
600635.SH,2010,31,9448824253,0,1,47,15,18,21920100.97,3540081161,186
600633.SH,2010,33,223386993.2,1,1,499,39,18,24605898.33,430281274.7,71.16
600630.SH,2010,31,2579481756,1,1,4022,27,19,35452957.27,3531413860,131.71
600629.SH,2010,31,1350518783,1,1,338,6,18,48805848.4,757265153.6,106.4
600628.SH,2010,31,5043506610,1,1,1018,23,14,72484836.04,3030089773,165.14
600626.SH,2010,31,2887743311,1,1,2428,30,24,119212747.5,5956185815,135.2
600618.SH,2010,31,5613722165,1,1,3022,47,18,55391387.42,5736501434,86.42
600611.SH,2010,31,10005428862,0,1,28054,2,16,60324829.29,3447461385,218
600610.SH,2010,31,364389533.9,0,1,871,47,18,39905157.11,116392528.9,66.86
600609.SH,2010,21,4924575342,1,2,13158,30,26,58008593.47,4674893784,159
600606.SH,2010,31,4465521345,0,1,811,17,18,82083122.19,1359781552,202.05
600605.SH,2010,31,818619212.2,0,1,49,6,19,84041783.3,1517262894,49
600604.SH,2010,31,833972905.6,1,1,775,17,17,117167163.6,467185663.6,50.8
600592.SH,2010,35,1730694426,1,1,721,11,13,31065401.74,670960046.3,139.9
600586.SH,2010,37,6039346005,0,1,1144,49,11,21801219.36,3146413035,82.4
600585.SH,2010,34,60411852826,1,3,32001,49,13,29066611.47,34508281745,295.51
600583.SH,2010,12,17920695316,1,1,9289,34,10,38913300,7137707078,133.9
600582.SH,2010,11,10559737626,1,1,8767,11,10,61081712.53,7969446775,185.62
600581.SH,2010,65,12180670421,1,4,5998,46,10,100138323,23666002646,107.63
600580.SH,2010,33,4063665528,0,1,4540,7,12,111586882.9,2903918779,105
600579.SH,2010,37,1402043366,1,1,2355,11,11,153444593.2,1470307291,32.2
600567.SH,2010,34,5399360191,0,3,1538,50,11,-2369539.75,3746236634,127.01
600565.SH,2010,50,5448286331,0,4,882,17,13,3834142.91,1819839083,280
600563.SH,2010,35,1454204688,0,1,2467,38,12,8727584.24,1208604441,243.14
600561.SH,2010,36,1874989673,1,3,8633,2,15,11442587.12,1243239607,131.95
600560.SH,2010,11,2130200838,1,1,687,11,11,37709328.79,699021459.5,92
600558.SH,2010,51,1846707551,1,4,1696,51,11,32587509.08,2207370650,80.1
600556.SH,2010,45,34059709.25,0,4,15,39,17,23368389.33,63110.53,11.88
600551.SH,2010,34,3600564725,1,3,2328,22,11,83905532.33,1833403036,115.26
600527.SH,2010,32,1333781524,0,1,584,48,14,32776404.17,1410528191,55.1
600526.SH,2010,33,2027725536,1,1,1493,10,10,41904059.4,1562143790,50
600523.SH,2010,52,2577303919,1,4,7245,30,11,123677406.7,2291874776,96.12
600520.SH,2010,34,480664698.6,0,3,1068,11,10,194093145.4,209049173.7,48
600503.SH,2010,31,7373781345,0,1,149,17,14,-2263555.44,457517949,400
600502.SH,2010,34,4098652419,1,3,2227,13,12,8213664.29,3833482831,138.95
600500.SH,2010,31,24808451583,1,1,10027,48,12,15184006.29,39691946899,524.9
600499.SH,2010,44,2931661318,0,1,2602,11,14,21419018.25,2064695073,163
600496.SH,2010,34,4248605340,0,3,4947,12,11,32635684.44,5313048738,166
600495.SH,2010,14,2071638155,1,1,449,11,10,56466555.55,1737090887,22.51
600493.SH,2010,35,1367246470,0,1,2944,27,19,59246345.78,924216480.8,78
600491.SH,2010,33,9802519275,0,1,1328,13,15,22861746.4,9844290165,88.4
600480.SH,2010,13,4173256172,1,1,1092,30,15,2686854.83,3431125121,94.9
600477.SH,2010,33,3850243274,0,1,5084,12,10,611722.77,3464218162,120.29
600475.SH,2010,32,4970700743,1,1,1454,10,10,5089390.1,3155753148,142
600470.SH,2010,34,3405168738,0,3,1310,48,10,7554143.2,2733575353,51.59
600469.SH,2010,41,6462277825,1,4,5877,30,12,15032068.27,8121845836,94.08
600467.SH,2010,37,2121015131,0,1,1837,56,17,32163352.13,774110665.5,39
600463.SH,2010,11,2242820007,1,1,262,13,10,20385073.13,859748112.9,55
600428.SH,2010,44,10119696323,1,1,4434,4,11,33648159.43,4406779235,117.24
600426.SH,2010,37,9035137687,1,1,2758,47,10,58836480.79,4737750864,155.63
600425.SH,2010,65,4443803474,1,4,3707,49,10,171709753.2,1753956939,152.63
600423.SH,2010,45,4409422144,1,4,2693,48,9,253198145.8,2087735415,93.69
600409.SH,2010,13,6971982331,0,1,5381,47,11,59534100,5304916382,139.24
600400.SH,2010,32,5223565895,0,1,4893,27,15,102429000,2139380448,38.58
600399.SH,2010,21,6406917824,0,2,8028,46,11,100750100,5281593366,68.22
600392.SH,2010,51,1105551201,1,4,750,51,12,-104425213.7,366158717,73.35
600390.SH,2010,43,1452622407,1,4,645,18,11,77361045.71,1296699079,62.4
600389.SH,2010,32,3159572932,0,1,2067,48,20,300355515.9,1984290107,162
600388.SH,2010,35,5711440044,0,1,3905,10,12,341302251.2,3344729702,234.15
600386.SH,2010,11,2011197174,1,1,1800,31,11,481382266.1,1960120240,95.36
600383.SH,2010,44,72816537483,0,1,6958,17,22,18800975.04,19592529782,464
600378.SH,2010,51,763189622.1,1,4,860,48,11,25497943.78,490718153,187.99
600377.SH,2010,32,24897493133,1,1,3669,5,18,31555418.48,6756244112,107
600376.SH,2010,11,42741284221,1,1,2226,17,17,38874246.99,7765492447,353.27
600375.SH,2010,34,2052846805,1,3,1127,11,11,49194242.04,3974464362,81
600373.SH,2010,36,5090651421,1,3,665,22,12,50459104.84,3131375103,196.8
600371.SH,2010,23,763450084.1,0,2,658,56,15,45037896.59,587215980.8,96.52
600370.SH,2010,32,1560778187,0,1,1307,48,16,62201886.38,1303132067,64.98
600369.SH,2010,50,22778077255,1,4,2862,21,20,216554625.2,1936470765,582.98
600368.SH,2010,45,9837357630,1,4,437,5,18,299251976.1,358396513.2,146.39
600367.SH,2010,52,1498391324,1,4,3071,47,11,162506867.2,952155769.8,30.05
600361.SH,2010,11,6270418262,0,1,19705,58,14,-14430387.64,10338816391,339.9
600359.SH,2010,65,4042160796,1,4,9091,56,11,8681644.75,1932094957,34.2
600358.SH,2010,32,1016680880,1,1,1824,22,12,23749781.75,187518589.1,72.8
600356.SH,2010,23,1896388622,1,2,1953,52,16,-42327765.45,1187216299,79.21
600354.SH,2010,62,3343296964,1,4,1292,56,12,-44225995.93,1589356456,61.35
600352.SH,2010,33,13388897230,0,1,6691,48,12,8198945.93,6677151544,195
600350.SH,2010,37,14440277354,1,1,3763,5,11,61628037.25,3940495743,103.44
600346.SH,2010,21,1980117792,0,2,1635,48,11,139973459.4,579598436,98.8
600343.SH,2010,61,1898126047,1,4,1706,11,11,219818977.1,596240865.2,82.9
600340.SH,2010,13,363664126,0,1,213,17,17,258164664.6,252611053.7,46.6
600326.SH,2010,54,2150558317,1,4,752,49,11,74816305.61,1130873531,40.96
600325.SH,2010,44,20326276967,1,1,1089,17,18,151153553.1,5875112951,824
600323.SH,2010,44,3191643265,1,1,411,10,18,151300272.7,595308599,248.08
600322.SH,2010,12,12682784447,1,1,212,17,17,260116346.8,1986226155,68
600321.SH,2010,51,2599197415,0,4,2350,12,17,395423176.6,506031066.7,66.77
600320.SH,2010,31,45287126334,1,1,4957,11,18,958659131.3,17116177415,171.07
600318.SH,2010,34,1701384754,0,3,1871,19,3,1270104728,811888934.5,125
600303.SH,2010,21,6654186992,0,2,1016,31,15,2816361420,6108684981,122
600302.SH,2010,61,1519463785,1,4,1985,11,11,2942893187,997087332.7,69.68
600299.SH,2010,11,15295805702,1,1,10928,44,11,2901285419,9676485635,45.26
600297.SH,2010,21,1720483155,0,2,923,31,11,2777569603,1033827913,141.67
600280.SH,2010,32,6704067507,0,1,3709,23,19,66931244.21,4937824394,191.08
600279.SH,2010,50,4631568795,1,4,2485,5,11,114995322.3,1120266826,80.05
600278.SH,2010,31,3014724152,1,1,198,6,12,168280090.8,5954689265,186.86
600277.SH,2010,15,12989101141,0,1,2282,47,11,169967398.7,7943253860,159.63
600273.SH,2010,33,2421653856,0,1,4897,47,12,206243523.4,2018462239,83.03
600250.SH,2010,32,4071156740,1,1,308,6,18,162416171.6,5873871588,95.6
600249.SH,2010,45,3307598157,1,4,1214,54,14,245681727.4,936393649.7,105.7
600248.SH,2010,61,2676255246,1,4,3720,13,12,507788593.8,3567897184,79.87
600246.SH,2010,11,11876151579,0,1,113,17,12,494156979.3,3568396779,266
600235.SH,2010,33,1941376784,1,1,1899,52,12,15307949.19,1334281666,55.28
600232.SH,2010,33,2031238983,0,1,4832,27,16,21856879.37,992735855.4,33.8
600231.SH,2010,21,8059270346,1,2,5835,46,16,27261638.15,12857743877,169.77
600230.SH,2010,13,4108554596,1,1,1952,47,12,31694278.63,2584898359,23.68
600229.SH,2010,37,2980235888,1,1,3383,22,16,23131411.88,2168575631,45.23
600228.SH,2010,36,942893723.7,1,3,1338,39,11,39467467.32,923456651.8,17.4
600227.SH,2010,52,9570178669,0,4,1215,44,12,61783929.26,1329324703,56.78
600223.SH,2010,37,11137811533,1,1,956,17,17,74916518.95,3018402427,59.02
600220.SH,2010,32,5510910154,0,1,5527,27,16,86433318.18,3106315616,53
600202.SH,2010,23,3129586484,1,2,846,11,17,16763350.92,1369193144,173.16
600201.SH,2010,15,1588783696,0,1,907,44,17,83496836.37,670330720.6,338.91
600195.SH,2010,11,2904661399,1,1,2073,44,12,85198430.73,2661158772,269.94
600190.SH,2010,21,6591584639,0,2,1175,5,17,131199639.3,863918071.2,372.27
600185.SH,2010,44,9629643142,1,1,315,17,11,129911189.7,1157476669,244.8
600172.SH,2010,41,2366167945,0,4,3451,11,12,-82921743.23,821746664.2,73.83
600170.SH,2010,31,49182578072,1,1,9273,13,12,-91870799.18,71061773552,165.88
600169.SH,2010,14,14877106368,1,1,7553,11,12,-135305343.7,9653736003,101.05
600166.SH,2010,11,24641471937,1,1,25686,31,14,-86879479.11,53492052403,529.06
600162.SH,2010,44,7325176184,0,1,1728,17,16,-198629173.5,1918920172,391.9
600148.SH,2010,22,816609400,1,2,1032,30,12,209805355.9,717714575.3,60
600143.SH,2010,44,9358491784,0,1,2501,48,17,35982660.3,10242325274,207.01
600141.SH,2010,42,6191579426,1,4,3991,47,16,162266738.3,4678043111,189.46
600138.SH,2010,11,7598171450,1,1,5376,32,13,144882758.4,6083838543,536.5
600133.SH,2010,42,3154149080,1,4,342,13,17,23337002.92,909123015.7,120
600128.SH,2010,32,3378924844,1,1,347,26,16,21170780.55,3157100204,90
600127.SH,2010,43,1480344375,1,4,2667,56,12,18312846.59,1252357497,102.75
600126.SH,2010,33,8936202614,1,1,6175,46,12,24311994.68,19410396965,87.7
600120.SH,2010,33,7109040649,1,1,492,18,16,35799161.68,4742704950,605.88
600119.SH,2010,31,1501316245,1,1,555,3,13,45024210.47,1533669591,144
600117.SH,2010,63,11996116421,1,4,7838,46,13,52538560.1,7051936904,80.3
600114.SH,2010,33,1408672838,0,1,3011,11,16,82062912.12,916138364,156
600097.SH,2010,31,1233883656,1,1,344,56,17,16063709.69,581204067.4,85
600096.SH,2010,53,24432927669,1,4,9319,48,13,29136026.31,7140750202,100
600095.SH,2010,23,1213207696,0,2,1161,21,16,56102597.06,456999674.2,41.85
600094.SH,2010,31,17792970.99,0,1,0,17,14,105475909.6,4700752,39.14
600088.SH,2010,31,1719951640,1,1,632,22,8,92957583.52,1171798225,173.96
600076.SH,2010,37,317206415.6,1,1,651,52,17,5108699.54,9738835.29,57.79
600075.SH,2010,65,4589067978,1,4,4563,47,13,-8937471.51,3437396609,91.03
600072.SH,2010,31,2373379133,1,1,904,13,13,-2837419.27,1374760439,133
600070.SH,2010,33,1473204905,0,1,2751,22,16,14453147.05,1064963413,21.15
600067.SH,2010,35,9664816912,0,1,229,17,22,31999761.85,8422875327,161.05
600066.SH,2010,41,6797037972,0,4,4122,31,13,34212016.33,13478500120,350
600064.SH,2010,32,14577862417,1,1,785,17,18,61353533.9,2681485216,159.1
600063.SH,2010,34,5042357555,1,3,3048,48,13,61638581.75,2394347182,70.14
600051.SH,2010,33,5337059987,0,1,659,6,16,29340847.28,3506207501,218.01
600048.SH,2010,44,1.52E+11,1,1,8482,17,18,13834443.14,35894117626,412
600039.SH,2010,51,7211034151,1,4,3132,13,11,35192803.91,4580923195,94.35
600037.SH,2010,11,9126167522,1,1,3014,22,11,82663238,1894346108,265.7
