地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年
湖北省,1031.26,1052.06,1031.38,1017.74,1104.96,1153.22,1140.67,1122.15,1099.38,1117.11,1084.08,1028.32,1011.7,1001.98,1006.35,1099.41,1016.93,716.19,602.91,603.19,700.1,735.85,845.1,1074.43,1211.2,1276.49,1230.14,1179.9,1225.6,1271.2,1287.9,1347.5,1352.1,1341.3,1330.6,1348.5,1305.6,1331.4,1384.5,1375.1,1341.8,1273.9,1292.3,1254.7,1122.3
湖南省,22.38,23.36,23.25,22.37,23.35,28.34,22.79,34.05,34.88,36.19,38.89,43.84,41.85,29.83,14.05,13.83,13.5,65.7,76.15,86.33,99.78,110.02,118.6,129.73,144.57,163.05,170.35,168.7,178.3,177,215,222.8,201.3,199.9,176.3,174.5,176.9,185.8,208.1,211,216.1,219.3,221.6,267,307.6
广东省,0.42,0.25,0.38,0.42,0.42,0.46,0.9,0.9,0.92,0.92,0.92,0.99,0.86,0.84,0.83,1,1.2,6.5,6,5.8,10.67,11.24,13.7,15.22,17.8,19.4,22.5,26.5,25.4,39.2,75.9,87.2,91.3,73.5,43.1,41.3,40.8,55.8,65.9,98.5,98.7,107.5,236.1,404.6,508.2
广西壮族自治区,4.44,3.81,3.86,3.03,3,3.08,3.2,2.73,0.82,1.1,0.99,1.05,3.18,3.25,3.22,3.62,3.93,10.7,11.7,12.3,12.8,14.7,19.5,19.75,25.5,31.9,25.2,21.6,13.2,14.1,14.2,16.9,24.5,29.5,17.9,13.1,12.9,11.5,14.9,17.8,21,24.3,41.7,102.1,149.3
海南省,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,18.85,18.68,18.52,21.03,24.79,30.13,34.34,41.11,51.95,64.73,78.84,90.53,104.48,125.81,154.36,178.28,164.8,279.67,280.5,322.73,388.15,422.1,466.2,531.6,548.2,556.3,,,,,,,,,,,,,,,,,,,
四川省,588.78,582.92,596.82,611.14,635,652.67,684,746.91,814.25,878.68,934.13,998.49,1051.24,1111.45,1172.45,1257.08,1287.2,1262.33,1255.7,1318.67,1456.9,1498.6,1604.95,1818.27,1864.6,1824.5,2364.9,2332,2309.5,2338.1,2296.1,2280.7,2221.2,2149.3,2076.7,2014.5,1995.4,2000,2192.9,2250.4,2273.1,2272.7,2164.9,2285.5,2040.3
贵州省,114.25,135.3,138.05,137.22,141.62,155.97,169.19,180.4,189.07,196.15,209.72,215.54,226.1,236.24,244.37,234.2,243.93,410.63,429.17,474.3,498.43,520.5,567.4,596.3,604.5,596.6,584.2,562,563.6,551.9,508.1,484.7,441,381.8,318,268.1,260.1,233.8,259.7,259,256.9,272.7,334.6,446.7,497.9
云南省,266.76,291.13,320,328.9,339.2,343.68,344.24,356.62,369.36,391.66,403.2,417.31,416.82,423.6,420.18,422.95,437.73,532.33,543.27,567.4,604.22,640.71,645.6,724.9,706.79,697.54,664.33,625,628.5,611,590,582.5,569.6,527.5,482.6,434.3,429.3,443.4,457.5,467.1,467.5,528.3,588.7,664.3,665.8
西藏自治区,32.62,32.49,29.86,32.35,31.73,39.35,42.61,36.33,36.92,37.81,37.73,37.6,37.05,36.76,37.34,40.29,41.49,42,40.64,42.21,44.76,46.99,51.91,54.73,55.04,53.91,52.5,51.9,48,43.6,43.6,43.3,41.6,39.3,39.5,38.1,35.7,38.7,45.1,41.2,43,45.2,58.9,66.4,65.7
