地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年
湖南省,3967.67,3971.1,3993.85,3855.2,4009,4238.71,4277.58,4287.76,4274.96,4218.53,4209.56,4160.79,4105.25,4103.37,3968.29,3915.15,3931.7,3795.2,3716.84,3409.98,3541.54,3691.61,3896.1,3984.47,3976.4,4075.8,4064.14,4084,4040.7,4025.9,4188,4298.1,4370.4,4354.1,4293.7,4255.1,4327.6,4246.5,4401.1,4418.9,4390.1,4416.5,4412.3,4506.9,4524.5
广东省,1835.9,1827.42,1834.43,1793.67,1787.39,1805.42,1806.03,1804.76,1826.77,1849.98,1898.21,1898.02,1918.14,1933.59,1930.74,1930.35,1941.93,2137.6,2139,2130.6,2195.46,2369.33,2467.4,2557.53,2686,2704.1,2713.4,2699.8,2670.8,2629.9,2875.9,3064.6,3175.9,3178.9,3118.9,3554.4,3606.4,3605.7,3933.7,4028.7,4004.6,4059.2,4163.7,4251.9,4325.3
广西壮族自治区,1758.03,1756.74,1760.11,1712.91,1752.55,1801.71,1836.7,1871.37,1923.75,1955.75,1979.04,2012.18,2040.77,2084.04,2091.88,2112.92,2238.07,2360.4,2356,2356.3,2412.6,2423.6,2301.6,2388.67,2433.5,2434.3,2430.8,2420.7,2417.3,2418.5,2465.4,2475.1,2543.7,2493.7,2462.7,2503.9,2519.3,2471,2661.1,2737.3,2773,2791.7,2764.3,2830.5,2892.2
海南省,228.69,226.61,227.53,229.7,246.1,246.65,253.33,265.75,284.86,284.31,299.66,298.21,307.61,305.37,301.86,296.64,296.4,300.4,334.74,343.12,344.54,354.63,367.45,391.14,388.5,391.38,390.5,393.6,391.5,390.4,413.8,411.3,414.3,403.8,367.7,,,,,,,,,,
重庆市,659.19,658.91,657.27,655.14,656.45,658.94,660.91,647.09,650.78,652.37,654.77,656.82,658.08,661.21,658.85,644.26,672.3,747.95,749.3,750.5,755.23,764,776.6,788.58,794.7,803.9,,,,,,,,,,,,,,,,,,,
四川省,1874,1875,1866.32,1870,1874,1874.93,1874,1878.71,1892.36,1905.41,1929.76,1943.17,1966.92,1990.9,2011.59,2023.97,2081.87,2087.49,2063.8,2040.31,2076.1,2093.13,2123.76,2176.04,2167.4,2196.1,3020.1,3003.3,2980.8,3043.3,3118.6,3110.7,3123.8,3113.3,3072.5,3031.5,3112.1,3128.5,3164.7,3158.9,3138.8,3125.7,3083.1,3005.3,3124.9
贵州省,613.77,645.23,665.12,664.72,671.78,700.5,714.25,711.07,714.13,712.62,706.97,701.41,712.03,710.41,699.16,680.13,679.62,721.67,716.52,720.5,734.64,750,750.5,747.95,746.8,742.9,741.3,741,735.1,714.8,745.1,720.8,741.2,731.7,728,721.3,735.8,773.7,779.7,777.9,781.7,769.5,774.5,755.1,794.5
云南省,709.46,753.83,818.93,841.5,849.55,870.56,881.4,909.29,942.23,979.69,943.86,966.52,933.11,978.53,977,969.94,1029.73,1049.27,1086.2,1043.13,1083.04,1100.29,1073.6,903,919.6,921.17,939.16,941,940.3,931,993.4,1011.5,1026.1,1007.7,1008.8,1019.9,1049.3,1074.5,1130.4,1107,1103.6,1077.8,1027.9,1042.7,1039.1
西藏自治区,0.83,0.77,0.95,0.77,0.94,0.89,1.14,0.94,0.99,0.95,0.97,1,0.98,1,0.98,1,0.98,1.02,1.05,1.01,1.65,1.06,1.01,1.03,1.1,1.1,1.2,1,0.9,1.1,1.1,1,0.8,0.7,0.9,0.7,0.9,0.5,0.7,0.6,0.6,0.7,0.6,0.6,0.7
陕西省,106.09,106.05,105.09,105.32,105.39,105.64,107.42,107.45,108.68,114.3,113.86,113.14,115.29,121.76,121.35,113.77,120.87,147.1,145.8,139.5,130.5,140.78,144.8,154.59,160,153.9,156.9,139.3,158.1,161.9,160.7,161.9,159.5,158.3,154.3,156.1,156.2,156.7,159.8,160.9,158.5,161.5,162.5,156.1,159.7
甘肃省,2.49,3.13,3.39,3.59,3.82,4.04,4.19,4.07,4.72,4.89,5.18,5.32,5.59,5.49,5.41,5.22,5.31,5.1,4.91,4.79,6.34,7.14,7.24,7.03,8.4,6.75,6.7,6.8,5.9,6.4,5.7,5.3,5.1,4.3,4,3.9,3.9,3.9,3.8,3.9,3.8,3.7,4,4,3.8
青海省,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,29.38,50.84,60.82,68.05,78.01,81.09,80.86,74.34,78.05,82.14,84.34,83.94,83.16,78.25,80.29,77,88.27,71.25,64.38,46.71,76.4,74.2,76.7,70.96,66.5,67.2,64,62.1,56.9,62.8,62.5,60.5,60,57.1,54.7,52.9,51.1,49.8,50.9,50.3,50.3,49,46.4,47.7,47.2
新疆维吾尔自治区,36.71,44.32,47.63,56.92,78.39,74.24,83.1,74.84,82.58,88.42,84.46,77.92,70.65,76.1,71.62,68.51,68,69.27,66.77,67.16,74.96,73.28,78.11,75.56,69.1,82.06,75.87,73.38,63.3,67.5,76.2,79.9,84.1,83.7,82.7,77.4,69.3,74.5,95.7,95.7,94.5,88.9,98.4,107.4,105.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
